id,name,common_name,supercategory,kingdom,phylum,class,order,family,genus,specific_epithet,image_dir_name
4,Eratigena duellica,Giant House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,duellica,00004_Animalia_Arthropoda_Arachnida_Araneae_Agelenidae_Eratigena_duellica
5,Atypoides riversi,California Turret Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Antrodiaetidae,Atypoides,riversi,00005_Animalia_Arthropoda_Arachnida_Araneae_Antrodiaetidae_Atypoides_riversi
6,Aculepeira ceropegia,Oak Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Aculepeira,ceropegia,00006_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Aculepeira_ceropegia
7,Agalenatea redii,Gorse Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Agalenatea,redii,00007_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Agalenatea_redii
8,Araneus bicentenarius,Giant Lichen Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,bicentenarius,00008_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_bicentenarius
9,Araneus diadematus,Cross Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,diadematus,00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus
10,Araneus marmoreus,Marbled Orb Weaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,marmoreus,00010_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_marmoreus
11,Araneus quadratus,Four-spot Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,00011_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_quadratus
12,Araneus trifolium,Shamrock Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,trifolium,00012_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_trifolium
13,Araniella displicata,Six-spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araniella,displicata,00013_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araniella_displicata
14,Argiope appensa,Hawaiian Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,appensa,00014_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_appensa
15,Argiope argentata,Silver Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,argentata,00015_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_argentata
16,Argiope aurantia,Yellow Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,aurantia,00016_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_aurantia
17,Argiope australis,Common Garden Orbweb Spinner,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,australis,00017_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_australis
18,Argiope bruennichi,Wasp Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,bruennichi,00018_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_bruennichi
19,Argiope keyserlingi,St. Andrew's Cross Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,keyserlingi,00019_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_keyserlingi
20,Argiope lobata,Lobed Argiope,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,lobata,00020_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_lobata
21,Argiope trifasciata,Banded Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,trifasciata,00021_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Argiope_trifasciata
