,0
10,0
100,1
1000,2
1001,3
1002,4
1003,5
1004,6
1005,7
1006,8
1007,9
1008,10
1009,11
101,12
1010,13
1011,14
1012,15
1013,16
1014,17
1015,18
1016,19
1017,20
1018,21
1019,22
102,23
1020,24
1021,25
1022,26
1023,27
1024,28
1025,29
1026,30
1027,31
1028,32
1029,33
103,34
1030,35
1031,36
1032,37
1033,38
1034,39
1035,40
1036,41
1037,42
1038,43
1039,44
104,45
1040,46
1041,47
1042,48
1043,49
1044,50
1045,51
1046,52
1047,53
1048,54
1049,55
105,56
1050,57
1051,58
1052,59
1053,60
1054,61
1055,62
1056,63
1057,64
1058,65
1059,66
106,67
1060,68
1061,69
1062,70
1063,71
1064,72
1065,73
1066,74
1067,75
1068,76
1069,77
107,78
1070,79
1071,80
1072,81
1073,82
1074,83
1075,84
1076,85
1077,86
1078,87
1079,88
108,89
1080,90
1081,91
1082,92
1083,93
1084,94
1085,95
1086,96
1087,97
1088,98
1089,99
109,100
1090,101
1091,102
1092,103
1093,104
1094,105
1095,106
1096,107
1097,108
1098,109
1099,110
11,111
110,112
1100,113
1101,114
1102,115
1103,116
1104,117
1105,118
1106,119
1107,120
1108,121
1109,122
111,123
1110,124
1111,125
1112,126
1113,127
1114,128
1115,129
1116,130
1117,131
1118,132
1119,133
112,134
1120,135
1121,136
1122,137
1123,138
1124,139
1125,140
1126,141
1127,142
1128,143
1129,144
113,145
1130,146
1131,147
1132,148
1133,149
1134,150
1135,151
1136,152
1137,153
1138,154
1139,155
114,156
1140,157
1141,158
1142,159
1143,160
1144,161
1145,162
1146,163
1147,164
1148,165
1149,166
115,167
1150,168
1151,169
1152,170
1153,171
1154,172
1155,173
1156,174
1157,175
1158,176
1159,177
116,178
1160,179
1161,180
1162,181
1163,182
1164,183
1165,184
1166,185
1167,186
1168,187
1169,188
117,189
1170,190
1171,191
1172,192
1173,193
1174,194
1175,195
1176,196
1177,197
1178,198
1179,199
118,200
1180,201
1181,202
1182,203
1183,204
1184,205
1185,206
1186,207
1187,208
1188,209
1189,210
119,211
1190,212
1191,213
1192,214
1193,215
1194,216
1195,217
1196,218
1197,219
1198,220
1199,221
12,222
120,223
1200,224
1201,225
1202,226
1203,227
1204,228
1205,229
1206,230
1207,231
1208,232
1209,233
121,234
1210,235
1211,236
1212,237
1213,238
1214,239
1215,240
1216,241
1217,242
1218,243
1219,244
122,245
1220,246
1221,247
1222,248
1223,249
1224,250
1225,251
1226,252
1227,253
1228,254
1229,255
123,256
1230,257
1231,258
1232,259
1233,260
1234,261
1235,262
1236,263
1237,264
1238,265
1239,266
124,267
1240,268
1241,269
1242,270
1243,271
1244,272
1245,273
1246,274
1247,275
1248,276
1249,277
125,278
1250,279
1251,280
1252,281
1253,282
1254,283
1255,284
1256,285
1257,286
1258,287
1259,288
126,289
1260,290
1261,291
1262,292
1263,293
1264,294
1265,295
1266,296
1267,297
1268,298
1269,299
127,300
1270,301
1271,302
1272,303
1273,304
1274,305
1275,306
1276,307
1277,308
1278,309
1279,310
128,311
1280,312
1281,313
1282,314
1283,315
1284,316
1285,317
1286,318
1287,319
1288,320
1289,321
129,322
1290,323
1291,324
1292,325
1293,326
1294,327
1295,328
1296,329
1297,330
1298,331
1299,332
13,333
130,334
1300,335
1301,336
1302,337
1303,338
1304,339
1305,340
1306,341
1307,342
1308,343
1309,344
131,345
1310,346
1311,347
1312,348
1313,349
1314,350
1315,351
1316,352
1317,353
1318,354
1319,355
132,356
1320,357
1321,358
1322,359
1323,360
1324,361
1325,362
1326,363
1327,364
1328,365
1329,366
133,367
1330,368
1331,369
1332,370
1333,371
1334,372
1335,373
1336,374
1337,375
1338,376
1339,377
134,378
1340,379
1341,380
1342,381
1343,382
1344,383
1345,384
1346,385
1347,386
1348,387
1349,388
135,389
1350,390
1351,391
1352,392
1353,393
1354,394
1355,395
1356,396
1357,397
1358,398
1359,399
136,400
1360,401
1361,402
1362,403
1363,404
1364,405
1365,406
1366,407
1367,408
1368,409
1369,410
137,411
1370,412
1371,413
1372,414
1373,415
1374,416
1375,417
1376,418
1377,419
1378,420
1379,421
138,422
1380,423
1381,424
1382,425
1383,426
1384,427
1385,428
1386,429
1387,430
1388,431
1389,432
139,433
1390,434
1391,435
1392,436
1393,437
1394,438
1395,439
1396,440
1397,441
1398,442
1399,443
14,444
140,445
1400,446
1401,447
1402,448
1403,449
1404,450
1405,451
1406,452
1407,453
1408,454
1409,455
141,456
1410,457
1411,458
1412,459
1413,460
1414,461
1415,462
1416,463
1417,464
1418,465
1419,466
142,467
1420,468
1421,469
1422,470
1423,471
1424,472
1425,473
1426,474
1427,475
1428,476
1429,477
143,478
1430,479
1431,480
1432,481
1433,482
1434,483
1435,484
1436,485
1437,486
1438,487
1439,488
144,489
1440,490
1441,491
1442,492
1443,493
1444,494
1445,495
1446,496
1447,497
1448,498
1449,499
145,500
1450,501
1451,502
1452,503
1453,504
1454,505
1455,506
1456,507
1457,508
1458,509
1459,510
146,511
1460,512
1461,513
1462,514
1463,515
1464,516
1465,517
1466,518
1467,519
1468,520
1469,521
147,522
1470,523
1471,524
1472,525
1473,526
1474,527
1475,528
1476,529
1477,530
1478,531
1479,532
148,533
1480,534
1481,535
1482,536
1483,537
1484,538
1485,539
1486,540
1487,541
1488,542
1489,543
149,544
1490,545
1491,546
1492,547
1493,548
1494,549
1495,550
1496,551
1497,552
1498,553
1499,554
15,555
150,556
1500,557
1501,558
1502,559
1503,560
1504,561
1505,562
1506,563
1507,564
1508,565
1509,566
151,567
1510,568
1511,569
1512,570
1513,571
1514,572
1515,573
1516,574
1517,575
1518,576
1519,577
152,578
1520,579
1521,580
1522,581
1523,582
1524,583
1525,584
1526,585
1527,586
1528,587
1529,588
153,589
1530,590
1531,591
1532,592
1533,593
1534,594
1535,595
1536,596
1537,597
1538,598
1539,599
154,600
1540,601
1541,602
1542,603
1543,604
1544,605
1545,606
1546,607
1547,608
1548,609
1549,610
155,611
1550,612
1551,613
1552,614
1553,615
1554,616
1555,617
1556,618
1557,619
1558,620
1559,621
156,622
1560,623
1561,624
1562,625
1563,626
1564,627
1565,628
1566,629
1567,630
1568,631
1569,632
157,633
1570,634
1571,635
1572,636
1573,637
1574,638
1575,639
1576,640
1577,641
1578,642
1579,643
158,644
1580,645
1581,646
1582,647
1583,648
1584,649
1585,650
1586,651
1587,652
1588,653
1589,654
159,655
1590,656
1591,657
1592,658
1593,659
1594,660
1595,661
1596,662
1597,663
1598,664
1599,665
16,666
160,667
1600,668
1601,669
1602,670
1603,671
1604,672
1605,673
1606,674
1607,675
1608,676
1609,677
161,678
1610,679
1611,680
1612,681
1613,682
1614,683
1615,684
1616,685
1617,686
1618,687
1619,688
162,689
1620,690
1621,691
1622,692
1623,693
1624,694
1625,695
1626,696
1627,697
1628,698
1629,699
163,700
1630,701
1631,702
1632,703
1633,704
1634,705
1635,706
1636,707
1637,708
1638,709
1639,710
164,711
1640,712
1641,713
1642,714
1643,715
1644,716
1645,717
1646,718
1647,719
1648,720
1649,721
165,722
1650,723
1651,724
1652,725
1653,726
1654,727
1655,728
1656,729
1657,730
1658,731
1659,732
166,733
1660,734
1661,735
1662,736
1663,737
1664,738
1665,739
1666,740
1667,741
1668,742
1669,743
167,744
1670,745
1671,746
1672,747
1673,748
1674,749
1675,750
1676,751
1677,752
1678,753
1679,754
168,755
1680,756
1681,757
1682,758
1683,759
1684,760
1685,761
1686,762
1687,763
1688,764
1689,765
169,766
1690,767
1691,768
1692,769
1693,770
1694,771
1695,772
1696,773
1697,774
1698,775
1699,776
17,777
170,778
1700,779
1701,780
1702,781
1703,782
1704,783
1705,784
1706,785
1707,786
1708,787
1709,788
